datetime,value,variable,device,device_name
2023-10-30 18:24:00-05:00,127.58,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 18:21:00-05:00,127.98,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 18:18:00-05:00,127.87,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 18:15:00-05:00,128.29,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 18:12:00-05:00,127.62,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 18:09:00-05:00,127.63,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 18:06:00-05:00,127.5,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 18:03:00-05:00,127.63,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 18:00:00-05:00,126.53,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 17:57:00-05:00,126.63,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 17:54:00-05:00,128.96,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 17:51:00-05:00,129.07,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 17:48:00-05:00,128.79,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 17:45:00-05:00,128.63,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 17:42:00-05:00,129.39,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 17:39:00-05:00,129.22,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 17:36:00-05:00,128.76,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 17:33:00-05:00,128.57,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 17:30:00-05:00,128.67,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 17:27:00-05:00,128.38,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 17:24:00-05:00,129.15,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 17:21:00-05:00,129.07,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 17:18:00-05:00,128.63,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 17:15:00-05:00,128.33,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 17:12:00-05:00,128.53,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 17:09:00-05:00,128.39,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 17:06:00-05:00,128.89,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 17:03:00-05:00,128.81,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 17:00:00-05:00,128.34,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 16:57:00-05:00,128.19,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 16:54:00-05:00,128.29,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 16:51:00-05:00,127.99,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 16:48:00-05:00,127.97,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 16:45:00-05:00,128.64,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 16:42:00-05:00,128.45,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 16:39:00-05:00,127.94,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 16:36:00-05:00,128.1,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
